station_number,year,month,day,max_temperature,min_temperature,rain,snow
36010,1929,11,14,39.0,,false,false
37950,1929,12,28,32.0,,false,false
38560,1930,6,29,51.099998474121094,,false,false
39730,1930,5,26,48.900001525878906,,false,false
36010,1930,4,28,46.900001525878906,,false,false
39530,1931,3,18,48.0,,false,false
38640,1931,5,17,48.900001525878906,,false,false
726810,1931,9,4,60.29999923706055,,false,false
726810,1931,12,2,10.399999618530273,,true,true
726810,1931,11,8,44.400001525878906,,false,false
